,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
231,Palisades,167,University,35,W,4/27,2:00p,University High School,15777 Bowdoin St Pacific,Palisades,CA,90272,Los Angeles,CA
232,Palmdale,24,Quartz Hill,136,L,3/7,3:30p,Palmdale High School,2137 E Ave R,Palmdale,CA,93550,Quartz Hill,CA
233,Palmdale,119,Antelope Valley,21,W,3/29,3:30p,Palmdale High School,2137 E Ave R,Palmdale,CA,93550,Lancaster,CA
234,Point Loma,116,Canyon Hills,54,W,4/25,3:00p,Point Loma High School,2335 Chatsworth Blvd San,Diego,CA,92106,San Diego,CA
235,Rancho Cotate,89,Technology,78,W,3/1,3:30p,Technology High School,5450 Snyder Ln Rohnert,Park,CA,94928,Rohnert Park,CA
236,Rancho Cotate,94,Casa Grande,71,W,3/6,3:00p,Casa Grande High School,5450 Snyder Ln Rohnert,Park,CA,94928,Petaluma,CA
237,Rancho Cotate,58,Cardinal Newman,104,L,3/13,3:30p,Rancho Cotate High School,5450 Snyder Ln Rohnert,Park,CA,94928,Santa Rosa,CA
238,Rancho Cotate,56,Ukiah,112,L,3/20,3:30p,Ukiah High School,5450 Snyder Ln Rohnert,Park,CA,94928,Ukiah,CA
239,Rancho Cotate,34,Santa Rosa,136,L,3/27,3:30p,Rancho Cotate High School,5450 Snyder Ln Rohnert,Park,CA,94928,Santa Rosa,CA
240,Rancho Cotate,92,Windsor,75,W,3/29,3:00p,Rancho Cotate High School,5450 Snyder Ln Rohnert,Park,CA,94928,Windsor,CA
241,Rancho Cotate,50,Maria Carrillo,114,L,4/17,3:30p,Rancho Cotate High School,5450 Snyder Ln Rohnert,Park,CA,94928,Santa Rosa,CA
242,Rancho Cotate,30,Montgomery,136,L,4/26,3:30p,Rancho Cotate High School,5450 Snyder Ln Rohnert,Park,CA,94928,Santa Rosa,CA
243,Rancho Dominguez,15,Contreras,32,L,3/14,3:00p,Contreras High School,4110 Santa Fe Ave Long,Beach,CA,90810,Los Angeles,CA
244,Saddleback,18,Costa Mesa,119,L,3/14,3:00p,Costa Mesa High School,2802 S Flower St Santa,Ana,CA,92707,Costa Mesa,CA
245,Saddleback,20,Laguna Beach,141,L,3/28,3:00p,Saddleback High School,2802 S Flower St Santa,Ana,CA,92707,Laguna Beach,CA
246,Saddleback,0,Calvary Chapel,1,L,4/18,3:15p,Saddleback High School,2802 S Flower St Santa,Ana,CA,92707,Santa Ana,CA
247,Segerstrom,2,Calvary Chapel,1,W,4/21,8:00a,Segerstrom High School,2301 W Macarthur Blvd Santa,Ana,CA,92704,Santa Ana,CA
248,Sierra,0,Yosemite,1,L,4/24,4:00p,Yosemite High School,33326 N Lodge Rd,Tollhouse,CA,93667,Oakhurst,CA
249,St. Vincent de Paul,23,Technology,122,L,3/8,TBA,Technology High School,849 Keokuk St,Petaluma,CA,94952,Rohnert Park,CA
250,Technology,78,Rancho Cotate,89,L,3/1,3:30p,Technology High School,1801 E Cotati Ave Rohnert,Park,CA,94928,Rohnert Park,CA
251,Technology,122,St. Vincent de Paul,23,W,3/8,TBA,Technology High School,1801 E Cotati Ave Rohnert,Park,CA,94928,Petaluma,CA
252,Technology,91,Willits,74,W,3/15,TBA,Willits High School,1801 E Cotati Ave Rohnert,Park,CA,94928,Willits,CA
253,Technology,55,St. Helena,114,L,3/22,TBA,Technology High School,1801 E Cotati Ave Rohnert,Park,CA,94928,St. Helena,CA
254,Twentynine Palms,125,Desert Mirage,45,W,3/21,3:15p,Desert Mirage High School,72750 Wildcat Way Twentynine,Palms,CA,92277,Thermal,CA
255,Ukiah,124,Windsor,40,W,3/6,4:00p,Windsor High School,1000 Low Gap Rd,Ukiah,CA,95482,Windsor,CA
256,Ukiah,112,Rancho Cotate,56,W,3/20,3:30p,Ukiah High School,1000 Low Gap Rd,Ukiah,CA,95482,Rohnert Park,CA
257,Ukiah,118,Casa Grande,51,W,4/3,3:00p,Casa Grande High School,1000 Low Gap Rd,Ukiah,CA,95482,Petaluma,CA
