,Team_1,Score_1,Team_2,Score_2,Result_Team_1,Date,Time,Location,Team_1_Street_Address,Team_1_City,Team_1_State,Team_1_Zip,Team_2_City,Team_2_State
33,Gila Ridge,192,Mohave,92,W,10/4,4:00p,Mohave High School,7150 East 24th Street,Yuma,AZ,85365,Bullhead City,AZ
34,Gila Ridge,207,Lake Havasu,72,W,10/19,4:00p,Gila Ridge High School,7150 East 24th Street,Yuma,AZ,85365,Lake Havasu City,AZ
35,Gilbert Classical Academy,69,Higley,116,L,9/26,5:00p,Higley High School,1016 N Burk St,Gilbert,AZ,85234,Gilbert,AZ
36,Higley,127,McClintock,130,L,8/31,4:00p,McClintock High School,4068 E Pecos Dr,Gilbert,AZ,85297,Tempe,AZ
37,Higley,131,Poston Butte,70,W,9/7,5:00p,Higley High School,4068 E Pecos Dr,Gilbert,AZ,85297,San Tan Valley,AZ
38,Higley,116,Gilbert Classical Academy,69,W,9/26,5:00p,Higley High School,4068 E Pecos Dr,Gilbert,AZ,85297,Gilbert,AZ
39,Horizon,94,Mountain Pointe,85,W,8/31,4:00p,Mountain Pointe High School,5601 E Greenway Rd,Scottsdale,AZ,85254,Phoenix,AZ
40,Horizon,52,Desert Mountain,118,L,9/7,3:00p,Horizon High School,5601 E Greenway Rd,Scottsdale,AZ,85254,Scottsdale,AZ
41,Horizon,40,Mountain View,143,L,9/12,4:00p,Mountain View High School,5601 E Greenway Rd,Scottsdale,AZ,85254,Mesa,AZ
42,Horizon,94,O'Connor,86,W,9/14,4:00p,O'Connor High School,5601 E Greenway Rd,Scottsdale,AZ,85254,Phoenix,AZ
43,Horizon,110,Mountain Ridge,77,W,9/28,4:00p,Mountain Ridge High School,5601 E Greenway Rd,Scottsdale,AZ,85254,Glendale,AZ
44,Horizon,114,Millennium,117,L,10/5,4:00p,Horizon High School,5601 E Greenway Rd,Scottsdale,AZ,85254,Goodyear,AZ
45,Horizon,117,Veritas Prep,50,W,10/5,4:00p,Horizon High School,5601 E Greenway Rd,Scottsdale,AZ,85254,Phoenix,AZ
46,Horizon,92,Anthem Prep,47,W,10/19,3:00p,Horizon High School,5601 E Greenway Rd,Scottsdale,AZ,85254,Anthem,AZ
47,Horizon,92,Desert Ridge,173,L,10/19,4:00p,Horizon High School,5601 E Greenway Rd,Scottsdale,AZ,85254,Mesa,AZ
48,Kofa,94,Gila Ridge,205,L,9/21,4:00p,Gila Ridge High School,3100 S Ave A,Yuma,AZ,85364,Yuma,AZ
49,Lake Havasu,72,Gila Ridge,207,L,10/19,4:00p,Gila Ridge High School,2675 S. Palo Verde Lake Havasu,City,AZ,86403,Yuma,AZ
50,Marcos de Niza,91,Shadow Mountain,84,W,9/14,4:00p,Shadow Mountain High School,6000 South Lakeshore Drive,Tempe,AZ,85283,Phoenix,AZ
